nohup: ignoring input

  0%|          | 0/20 [00:00<?, ?it/s]
  5%|▌         | 1/20 [04:54<1:33:20, 294.75s/it]epoch: 0	loss_train: 0.05091	loss_val: 0.01073	obj_accuracy: 0.99927	aff_accuracy: 0.99762

 10%|█         | 2/20 [09:49<1:28:27, 294.88s/it]epoch: 1	loss_train: 0.01773	loss_val: 0.00947	obj_accuracy: 1.00000	aff_accuracy: 0.99703

 15%|█▌        | 3/20 [14:44<1:23:33, 294.89s/it]epoch: 2	loss_train: 0.01055	loss_val: 0.00639	obj_accuracy: 1.00000	aff_accuracy: 0.99790

 20%|██        | 4/20 [19:40<1:18:40, 295.02s/it]epoch: 3	loss_train: 0.01108	loss_val: 0.00529	obj_accuracy: 0.99993	aff_accuracy: 0.99829

 25%|██▌       | 5/20 [24:35<1:13:45, 295.01s/it]epoch: 4	loss_train: 0.00726	loss_val: 0.00635	obj_accuracy: 1.00000	aff_accuracy: 0.99787

 30%|███       | 6/20 [29:30<1:08:50, 295.06s/it]epoch: 5	loss_train: 0.00774	loss_val: 0.00635	obj_accuracy: 0.99994	aff_accuracy: 0.99772

 35%|███▌      | 7/20 [34:25<1:03:56, 295.09s/it]epoch: 6	loss_train: 0.00541	loss_val: 0.00500	obj_accuracy: 1.00000	aff_accuracy: 0.99842

 40%|████      | 8/20 [39:20<58:59, 294.97s/it]  epoch: 7	loss_train: 0.00491	loss_val: 0.00610	obj_accuracy: 0.99998	aff_accuracy: 0.99819

 45%|████▌     | 9/20 [44:14<54:03, 294.90s/it]epoch: 8	loss_train: 0.00390	loss_val: 0.00597	obj_accuracy: 1.00000	aff_accuracy: 0.99809

 50%|█████     | 10/20 [49:09<49:07, 294.78s/it]epoch: 9	loss_train: 0.00360	loss_val: 0.00521	obj_accuracy: 1.00000	aff_accuracy: 0.99834

 55%|█████▌    | 11/20 [54:04<44:14, 294.99s/it]epoch: 10	loss_train: 0.00259	loss_val: 0.00601	obj_accuracy: 0.99999	aff_accuracy: 0.99849

 60%|██████    | 12/20 [58:59<39:19, 294.97s/it]epoch: 11	loss_train: 0.00234	loss_val: 0.00583	obj_accuracy: 1.00000	aff_accuracy: 0.99832

 65%|██████▌   | 13/20 [1:03:55<34:25, 295.09s/it]epoch: 12	loss_train: 0.00140	loss_val: 0.00543	obj_accuracy: 1.00000	aff_accuracy: 0.99861

 70%|███████   | 14/20 [1:08:50<29:30, 295.12s/it]epoch: 13	loss_train: 0.00085	loss_val: 0.00719	obj_accuracy: 1.00000	aff_accuracy: 0.99854

 75%|███████▌  | 15/20 [1:13:45<24:35, 295.18s/it]epoch: 14	loss_train: 0.00075	loss_val: 0.00604	obj_accuracy: 1.00000	aff_accuracy: 0.99856

 80%|████████  | 16/20 [1:20:10<21:27, 321.93s/it]epoch: 15	loss_train: 0.00041	loss_val: 0.00677	obj_accuracy: 1.00000	aff_accuracy: 0.99856

 85%|████████▌ | 17/20 [1:30:05<20:12, 404.04s/it]epoch: 16	loss_train: 0.00029	loss_val: 0.00565	obj_accuracy: 1.00000	aff_accuracy: 0.99837

 90%|█████████ | 18/20 [1:40:01<15:23, 461.69s/it]epoch: 17	loss_train: 0.00033	loss_val: 0.00694	obj_accuracy: 1.00000	aff_accuracy: 0.99849

 95%|█████████▌| 19/20 [1:49:57<08:21, 501.80s/it]epoch: 18	loss_train: 0.00005	loss_val: 0.00734	obj_accuracy: 1.00000	aff_accuracy: 0.99861

100%|██████████| 20/20 [1:59:52<00:00, 529.85s/it]
epoch: 19	loss_train: 0.00004	loss_val: 0.00796	obj_accuracy: 1.00000	aff_accuracy: 0.99851
